population,city,country,latitude,longitude
0.77,Al ‘Ayn,United Arab Emirates,24.2075,55.7447
0.77,Hempstead,United States,40.6629,-73.6089
0.77,Songzi,China,30.1772,111.7732
0.76,Laixi,China,36.8667,120.5333
0.76,Bahawalpur,Pakistan,29.3956,71.6722
0.76,Frankfurt,Germany,50.1136,8.6797
0.76,Zhongba,China,31.7761,104.7406
0.76,Kaduna,Nigeria,10.5105,7.4165
0.76,Qingnian,China,36.8494,115.7061
0.76,Albuquerque,United States,35.1053,-106.6464
0.76,Xinhualu,China,34.3962,113.7249
0.76,Cotonou,Benin,6.402,2.518
0.76,Guangshui,China,31.6189,113.8229
0.75,Kolhāpur,India,16.7,74.2333
0.75,Licheng,China,31.4174,119.4786
0.75,Cúcuta,Colombia,7.9075,-72.5047
0.75,Ciudad Guayana,Venezuela,8.3596,-62.6517
0.75,Sizhan,China,39.0099,106.3694
0.75,Colombo,Sri Lanka,6.9167,79.8333
0.75,Changhua,Taiwan,24.0667,120.5333
0.75,Samarinda,Indonesia,-0.5022,117.1536
0.75,Pietermaritzburg,South Africa,-29.6009,30.3796
0.74,Pretoria,South Africa,-25.7464,28.1881
0.74,Nerima,Japan,35.75,139.6167
0.74,Orūmīyeh,Iran,37.5486,45.0675
0.74,Zunhua,China,40.1881,117.9593
0.74,Birmingham,United States,33.5277,-86.7987
0.74,Nehe,China,48.48,124.8738
0.74,Kumamoto,Japan,32.8031,130.7078
0.74,Chengguan,China,35.5256,113.6976
0.74,Nampula,Mozambique,-15.1167,39.2667
0.74,Tyumen,Russia,57.15,65.5333
0.74,Thiruvananthapuram,India,8.5,76.8997
0.74,Zaporizhzhia,Ukraine,47.8378,35.1383
0.74,Ōta-ku,Japan,35.5614,139.7161
0.73,Langzhong,China,31.5504,105.9938
0.73,Tlajomulco de Zúñiga,Mexico,20.4736,-103.4431
0.73,Qian’an,China,40.0059,118.6973
0.73,Zouping,China,36.8625,117.7424
0.73,Cagayan de Oro,Philippines,8.4833,124.65
0.73,Shuangqiao,China,35.0833,112.5833
0.73,Osogbo,Nigeria,7.7597,4.5761
0.73,Wugang,China,26.7345,110.6293
0.73,Comodoro Rivadavia,Argentina,-45.8667,-67.5
0.72,Lviv,Ukraine,49.8419,24.0315
0.72,An Najaf,Iraq,32.029,44.3396
0.72,Sagamihara,Japan,35.5667,139.3667
0.72,Sarasota,United States,27.3386,-82.5431
0.72,Mississauga,Canada,43.6,-79.65
0.72,Okayama,Japan,34.65,133.9167
0.72,Anlu,China,31.2575,113.6783
0.72,Dayton,United States,39.7797,-84.1998
0.72,Changsha,China,22.3762,112.6877
0.72,Shihezi,China,44.3,86.0333
0.72,Enugu,Nigeria,6.4403,7.4942
0.72,Torreón,Mexico,25.5394,-103.4486
0.71,George Town,Malaysia,5.4145,100.3292
0.71,Sahāranpur,India,29.964,77.546
0.71,Valenzuela,Philippines,14.7,120.9833
0.71,Winnipeg,Canada,49.8844,-97.1464
0.71,Yanggok,South Korea,37.6367,127.2142
0.71,Yatou,China,37.1653,122.4867
0.71,Santo André,Brazil,-23.6572,-46.5333
0.71,Xichang,China,27.8983,102.2706
0.71,Bhiwandi,India,19.3,73.0667
0.71,Quebec City,Canada,46.8139,-71.2081
0.71,Chengxiang,China,31.4515,121.1043
0.7,Rochester,United States,43.168,-77.6162
0.7,General Santos,Philippines,6.1167,125.1667
0.7,Fresno,United States,36.7831,-119.7941
0.7,Dashiqiao,China,40.6328,122.5021
0.7,Ḩamāh,Syria,35.1333,36.75
0.7,Qianxi,China,27.0284,106.0327
0.7,Latakia,Syria,35.5236,35.7917
0.7,Warangal,India,17.9756,79.6011
0.7,Dasmariñas,Philippines,14.3294,120.9367
0.7,Jaboatão,Brazil,-8.1803,-35.0014
0.7,Soledad,Colombia,10.92,-74.77
0.69,Leling,China,37.7333,117.2167
0.69,São José dos Campos,Brazil,-23.1789,-45.8869
0.69,Bauchi,Nigeria,10.3158,9.8442
0.69,Jianshe,China,34.2189,113.7693
0.69,Karbalā’,Iraq,32.6167,44.0333
0.69,Mālegaon,India,20.55,74.55
0.69,Shizuoka,Japan,34.9756,138.3825
0.69,Gaizhou,China,40.4019,122.3499
0.69,Miluo Chengguanzhen,China,28.8049,113.0745
0.69,Łódź,Poland,51.7769,19.4547
0.69,Hamilton,Canada,43.2567,-79.8692
0.69,Shishi,China,24.7355,118.6434
0.69,Tolyatti,Russia,53.5167,49.4167
0.69,Guadalupe,Mexico,25.6775,-100.2597
0.69,Salem,India,11.65,78.1667
0.69,Banjarmasin,Indonesia,-3.319,114.5921
0.69,Osasco,Brazil,-23.5328,-46.7919
0.69,Edogawa,Japan,35.6924,139.8757
0.69,Oslo,Norway,59.9111,10.7528
0.69,City of Parañaque,Philippines,14.4667,121.0167
0.68,Rasht,Iran,37.2833,49.6
0.68,Zaragoza,Spain,41.65,-0.8833
0.68,As Sulaymānīyah,Iraq,35.55,45.4333
0.68,Xigazê,China,29.2649,88.8799
0.68,Zhongshu,China,27.8116,106.4133
0.68,Xinmin,China,41.9952,122.8224
0.68,Jingcheng,China,32.0058,120.2547
0.68,Tasikmalaya,Indonesia,-7.3333,108.2
0.68,Allentown,United States,40.5961,-75.4756
0.68,Kochi,India,9.9667,76.2833
0.68,Adachi,Japan,35.7833,139.8
0.68,Sevilla,Spain,37.39,-5.99
0.67,Gorakhpur,India,26.7611,83.3667
0.67,Bahār,Iran,34.9069,48.4414
0.67,Acapulco de Juárez,Mexico,16.8636,-99.8825
0.67,Palermo,Italy,38.1111,13.3517
0.67,Puyang Chengguanzhen,China,35.7004,114.98
